Seller Platform,Seller SKU,Manufacturer Name,Manufacturer Code,Product Title,Description,Packaging,QTY,Catagory,Subcategory,Product Page URL,Attachment URL,Images URL
highlandmetals,12217171344,highlandmetals,12217171344,"Stainless Steel, .017x.017, Lower, Broad, Pack of 100 wires",,pack,100, , ,http://www.highlandmetals.com/store/main.aspx?p=ItemDetailStyles&item=12217171344, ,https://www.highlandmetals.com/IMAGES_PRODUCT/WIRES-SS_LG.JPG
highlandmetals,12217171424,highlandmetals,12217171424,"Stainless Steel, .017x.017, Upper, Standard, Pack of 100 wires",,pack,100, , ,http://www.highlandmetals.com/store/main.aspx?p=ItemDetailStyles&item=12217171424, ,https://www.highlandmetals.com/IMAGES_PRODUCT/WIRES-SS_LG.JPG
highlandmetals,12217171444,highlandmetals,12217171444,"Stainless Steel, .017x.017, Lower, Standard, Pack of 100 wires",,pack,100, , ,http://www.highlandmetals.com/store/main.aspx?p=ItemDetailStyles&item=12217171444, ,https://www.highlandmetals.com/IMAGES_PRODUCT/WIRES-SS_LG.JPG
highlandmetals,12217171524,highlandmetals,12217171524,"Stainless Steel, .017x.017, Upper, Youth, Pack of 100 wires",,pack,100, , ,http://www.highlandmetals.com/store/main.aspx?p=ItemDetailStyles&item=12217171524, ,https://www.highlandmetals.com/IMAGES_PRODUCT/WIRES-SS_LG.JPG
highlandmetals,12217171544,highlandmetals,12217171544,"Stainless Steel, .017x.017, Lower, Youth, Pack of 100 wires",,pack,100, , ,http://www.highlandmetals.com/store/main.aspx?p=ItemDetailStyles&item=12217171544, ,https://www.highlandmetals.com/IMAGES_PRODUCT/WIRES-SS_LG.JPG
highlandmetals,12217174304,highlandmetals,12217174304,"Stainless Steel, .017x.017, 14"" Straight Lengths, Tube of 100 wires",,pack,100, , ,http://www.highlandmetals.com/store/main.aspx?p=ItemDetailStyles&item=12217174304, ,https://www.highlandmetals.com/IMAGES_PRODUCT/12200124304_LG.JPG
highlandmetals,12217221214,highlandmetals,12217221214,"Stainless Steel, .017x.022, XL, Progressive, Pack of 100 wires",,pack,100, , ,http://www.highlandmetals.com/store/main.aspx?p=ItemDetailStyles&item=12217221214, ,https://www.highlandmetals.com/IMAGES_PRODUCT/WIRES-SS_LG.JPG
highlandmetals,12217251124,highlandmetals,12217251124,"Stainless Steel, .017x.025, Upper, Natural, Pack of 100 wires",,pack,100, , ,http://www.highlandmetals.com/store/main.aspx?p=ItemDetailStyles&item=12217251124, ,https://www.highlandmetals.com/IMAGES_PRODUCT/WIRES-SS_LG.JPG
highlandmetals,12217251134,highlandmetals,12217251134,"Stainless Steel, .017x.025, Midsize, Natural, Pack of 100 wires",,pack,100, , ,http://www.highlandmetals.com/store/main.aspx?p=ItemDetailStyles&item=12217251134, ,https://www.highlandmetals.com/IMAGES_PRODUCT/WIRES-SS_LG.JPG
highlandmetals,12217251144,highlandmetals,12217251144,"Stainless Steel, .017x.025, Lower, Natural, Pack of 100 wires",,pack,100, , ,http://www.highlandmetals.com/store/main.aspx?p=ItemDetailStyles&item=12217251144, ,https://www.highlandmetals.com/IMAGES_PRODUCT/WIRES-SS_LG.JPG
